,Does a <entity> fly?,Can a <entity> fly?,A <entity> flys.,Is <entity> is capable of flying?,<entity> is capable of flying.
accuracy,0.36792452830188677,0.27358490566037735,0.27358490566037735,0.839622641509434,0.8207547169811321
yes_count,67.0,77.0,77.0,17.0,19.0
no_count,39.0,29.0,29.0,89.0,87.0
