,animal,accuracy,yes_count,no_count
0,corgi,0.67,2,4
1,beagle,0.00,6,0
2,boxer,0.83,1,5
3,bulldog,0.83,1,5
4,dog,0.67,2,4
5,chihuahua,1.00,0,6
6,cocker spaniel,1.00,0,6
7,collie,0.33,4,2
8,dalmatian,1.00,0,6
9,doberman,0.67,2,4
10,fox,0.33,4,2
11,labrador,1.00,0,6
12,pinscher,0.83,1,5
13,pomeranian,1.00,0,6
14,schnauzer,0.50,3,3
15,terrier,0.83,1,5
16,wolf,0.33,4,2
17,cat,0.50,3,3
18,caracal,0.33,4,2
19,jaguar,0.17,5,1
20,liger,0.83,1,5
21,lion,0.00,6,0
22,leopard,0.50,3,3
23,tiger,0.50,3,3
24,beef,0.17,5,1
25,bull,0.67,2,4
26,cow,0.50,3,3
27,ox,0.33,4,2
28,rhino,0.17,5,1
29,elephant,0.33,4,2
30,bear,0.33,4,2
31,camel,1.00,0,6
32,deer,0.33,4,2
33,flamingo,0.00,6,0
34,goat,0.50,3,3
35,gorilla,0.50,3,3
36,horse,0.67,2,4
37,hippopotamus,0.50,3,3
38,iguana,1.00,0,6
39,koala,1.00,0,6
40,kangaroo,1.00,0,6
41,lizard,0.33,4,2
42,monkey,0.50,3,3
43,mule,0.83,1,5
44,pig,0.17,5,1
45,rabbit,0.33,4,2
46,rat,0.83,1,5
47,sheep,0.67,2,4
48,zebra,0.33,4,2
49,worm,0.33,4,2
50,snail,0.33,4,2
51,giraffe,0.33,4,2
52,tarantula,0.33,4,2
53,spider,0.33,4,2
54,boa,0.83,1,5
55,cobra,0.50,3,3
56,mamba,1.00,0,6
57,baboon,0.33,4,2
58,grivet,0.67,2,4
59,aardvark,0.67,2,4
60,mouse,0.83,1,5
61,bison,0.83,1,5
62,ass,0.67,2,4
63,antelope,0.50,3,3
64,ant,0.33,4,2
65,caterpillar,0.33,4,2
66,shrew,0.50,3,3
67,raccoon,0.67,2,4
68,quail,0.33,4,2
69,husky,0.17,5,1
70,skunk,0.50,3,3
71,ape,0.50,3,3
72,alpaca,0.83,1,5
73,donkey,0.83,1,5
74,moose,0.33,4,2
75,alligator,0.33,4,2
76,crocodile,0.17,5,1
77,snake,0.50,3,3
78,frog,0.33,4,2
79,salamander,0.83,1,5
80,gibbon,0.33,4,2
81,hyena,0.83,1,5
82,rottweiler,1.00,0,6
83,squirrel,0.33,4,2
84,tapir,1.00,0,6
85,yak,0.67,2,4
86,fish,0.83,1,5
87,shark,0.50,3,3
88,tuna,0.83,1,5
89,jellyfish,0.50,3,3
90,salmon,0.83,1,5
91,octupus,0.50,3,3
92,barracuda,1.00,0,6
93,codfish,1.00,0,6
94,crab,0.50,3,3
95,cuttlefish,0.50,3,3
96,dolphin,0.67,2,4
97,eel,0.50,3,3
98,gar,0.83,1,5
99,herring,0.33,4,2
100,kingfisher,1.00,0,6
101,lobster,0.83,1,5
102,oyster,0.67,2,4
103,puma,1.00,0,6
104,piranha,0.83,1,5
105,seal,0.33,4,2
106,shrimp,0.50,3,3
107,prawn,0.00,6,0
108,starfish,0.50,3,3
109,sponge,1.00,0,6
110,whale,0.50,3,3
